Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
T S Kohli,"RRO, KXI",4,11,3.67,0,,Bowler
V Kohli,RCB,237,7263,37.25,4,92.0,Batsman
S C Kuggeleijn,CSK,2,0,,2,35.5,Batsman
K M D N Kulasekara,CSK,6,5,,5,24.0,Batsman
Kuldeep Yadav,"KKR, DDV",73,136,15.11,71,28.39,Bowler
D S Kulkarni,"MIN, RRO, GUJ",92,104,11.56,86,28.77,Bowler
B Kumar,"PWI, SUN",160,283,8.84,170,25.86,Bowler
M Kumar,DDV,10,7,,7,46.57,Batsman
P Kumar,"RCB, KXI, MIN, SUN, GUJ",119,340,8.95,90,36.12,Bowler
Kumar Kartikeya,MIN,12,9,4.5,10,32.9,Bowler
A Kumble,RCB,42,35,11.67,45,23.51,Bowler
S D Lad,MIN,1,15,15.0,0,,Batsman
S Ladda,"DDV, KKR, GUJ",9,0,0.0,5,44.8,Bowler
Lalit Yadav,DDV,25,295,21.07,10,36.9,Bowler
S Lamichhane,DDV,9,0,0.0,13,22.46,Bowler
C K Langeveldt,"KKR, RCB",7,8,4.0,13,14.38,Bowler
B Laughlin,"CSK, RRO",9,5,2.5,10,28.2,Bowler
V V S Laxman,"DCH, KTK",20,282,15.67,0,,Batsman
B Lee,"KXI, KKR",38,124,12.4,25,43.8,Bowler
D S Lehmann,RRO,2,18,9.0,0,,Bowler
R E Levi,MIN,6,83,13.83,0,,Bowler
E Lewis,"MIN, RRO, LSG",27,654,27.25,0,,Batsman
J B Little,GTI,10,0,,7,42.0,Batsman
Litton Das,KKR,1,4,4.0,0,,Bowler
L S Livingstone,"RRO, KXI",32,828,29.57,8,38.63,Batsman
M K Lomror,"RRO, RCB",30,402,19.14,1,109.0,Batsman
M J Lumb,"RRO, DCH",12,278,23.17,0,,Batsman
C A Lynn,"DCH, KKR, MIN",42,1329,34.08,0,,Batsman
C  Madan,MIN,1,15,15.0,0,,Batsman
N J Maddinson,RCB,3,20,6.67,0,,Bowler
A Madhwal,MIN,8,0,,14,15.64,Batsman
S S B Magala,CSK,2,0,,1,51.0,Batsman
M F Maharoof,DDV,20,177,17.7,27,19.26,Bowler
V Y  Mahesh,"DDV, CSK",18,15,7.5,21,23.76,Bowler
A P  Majumdar,PWI,4,87,21.75,0,,Batsman
D J Malan,KXI,1,26,26.0,0,,Batsman
I  Malhotra,DCH,1,7,,0,,Batsman
V S  Malik,"KXI, RRO",13,7,7.0,6,43.5,Bowler
S L Malinga,MIN,122,88,5.5,170,19.85,Bowler
Mandeep Singh,"KKR, KXI, RCB, DDV",111,1706,20.8,0,,Batsman
M  Manhas,"DDV, PWI, CSK",55,514,22.35,0,,Batsman
P N Mankad,"KXI, LSG",6,97,32.33,0,,Batsman
A Manohar,GTI,17,222,18.5,0,,Batsman
M Markande,"MIN, RRO, SUN",30,48,16.0,29,27.93,Bowler
A K Markram,"KXI, SUN",33,775,32.29,2,78.5,Batsman
M R Marsh,"DCH, PWI, RPS, SUN, DDV",38,605,20.17,36,19.22,Bowler
S E Marsh,KXI,71,2477,39.95,0,,Batsman
D R Martyn,RRO,1,19,19.0,0,,Batsman
A D Mascarenhas,"RRO, KXI",13,79,8.78,19,18.74,Bowler
Mashrafe Mortaza,KKR,1,2,,0,,Batsman
A D Mathews,"KKR, PWI, DDV",49,724,23.35,27,39.96,Bowler
G J Maxwell,"DDV, MIN, KXI, RCB",124,2719,26.4,31,37.87,All Rounder
K R Mayers,LSG,13,379,29.15,0,,Batsman
M J McClenaghan,MIN,56,91,7.0,71,25.39,Bowler
O C McCoy,RRO,8,8,8.0,11,22.73,Bowler
B B McCullum,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,0,,Batsman
N L McCullum,PWI,2,26,26.0,0,,Batsman
A B McDonald,"DDV, RCB",11,123,24.6,11,23.73,Bowler
G D McGrath,DDV,14,4,4.0,12,29.75,Bowler
C J McKay,MIN,2,8,8.0,1,60.0,Bowler
R McLaren,"MIN, KXI, KKR",18,159,19.88,12,45.17,Bowler
A L  Menaria,RRO,29,401,19.1,3,48.0,Batsman
B A W Mendis,"KKR, PWI",10,3,1.5,8,35.63,Bowler
B M A J Mendis,DDV,3,23,7.67,1,36.0,Bowler
R P Meredith,"KXI, MIN",18,0,,19,32.21,Batsman
L I Meriwala,DDV,1,0,,1,32.0,Batsman
S Midhun,RRO,1,0,,0,,Batsman
D A Miller,"KXI, RRO, GTI",121,2714,35.71,0,,Batsman
T S Mills,"RCB, MIN",10,8,2.0,11,31.18,Bowler
A F Milne,"RCB, MIN, CSK",10,23,5.75,7,46.71,Bowler
